id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
221,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
222,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
223,EPIC 220674823 b,798,8.21 Earths,12.101,2016
224,EPIC 220674823 c,798,8.9 Earths,12.101,2016
225,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
226,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
227,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
228,EPIC 206032309 b,526,1.01 Earths,17.89,2019
229,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
230,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
231,EPIC 206215704 b,358,0.972 Earths,17.83,2019
232,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
233,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
234,EPIC 211822797 b,607,4.35 Earths,15.133,2016
235,EPIC 211945201 b,593,27 Earths,10.154,2018
236,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
237,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
238,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
239,EPIC 212499991 b,924,3.19 Earths,13.672,2019
240,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
241,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
242,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
243,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
244,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
245,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
246,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
247,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
248,EPIC 220674823 b,798,8.21 Earths,12.101,2016
249,EPIC 220674823 c,798,8.9 Earths,12.101,2016
